threshold	mode	depth	label	n_samples	n_subjects	high_cal_samples	lower_cal_samples	n_high_label	n_lower_label	n_high_other	n_lower_other	or_value	ci_low	ci_high	p_value	q_value	mode_key	label_col
150	Rebuilt	3	Bacteroides dorei__Bacteroides uniformis	202	49	132	70	22	9	110	61	1.35358347437726	0.556090424524501	3.55838178760082	0.542825254918485	0.803961281071383	rebuilt	depth3_absorb
150	Rebuilt	3	Bacteroides dorei__Bifidobacterium breve	202	49	132	70	12	8	120	62	0.776028168817701	0.274770522064499	2.31096643702853	0.625303218611076	0.803961281071383	rebuilt	depth3_absorb
150	Rebuilt	3	Bacteroides dorei__Escherichia-Shigella coli	202	49	132	70	26	14	106	56	0.981215670645291	0.451360643938801	2.20473968149124	1	1	rebuilt	depth3_absorb
150	Rebuilt	3	Segatella sp.__Faecalibacterium prausnitzii__Bacteroides dorei	202	49	132	70	10	5	122	65	1.0652481064875	0.315487661972992	4.1445224741465	1	1	rebuilt	depth3_absorb
200	Rebuilt	3	Segatella sp.__Faecalibacterium prausnitzii__Escherichia-Shigella coli	202	49	114	88	3	11	111	77	0.190680690829207	0.033066573102184	0.753832739026382	0.00975264177109897	0.0877737759398907	rebuilt	depth3_absorb
200	Rebuilt	3	Bacteroides dorei__Bacteroides ovatus	202	49	114	88	20	8	94	80	2.12011834242002	0.838873905228201	5.87872688248593	0.101856082942983	0.458352373243423	rebuilt	depth3_absorb
200	Rebuilt	3	Bacteroides dorei__Bacteroides uniformis	202	49	114	88	21	10	93	78	1.75650522985076	0.738840679730032	4.44133765658801	0.23721155958008	0.623770560839886	rebuilt	depth3_absorb
200	Rebuilt	3	Segatella sp.__Faecalibacterium prausnitzii__Bifidobacterium breve	202	49	114	88	10	4	104	84	2.01264424691732	0.555561711733435	9.1090088897585	0.277231360373283	0.623770560839886	rebuilt	depth3_absorb
200	Rebuilt	3	Segatella sp.__Faecalibacterium prausnitzii__Prevotellaceae fam.	202	49	114	88	2	4	112	84	0.376811706640644	0.033346909629112	2.6995573140054	0.406801560449626	0.650394313566424	rebuilt	depth3_absorb
200	Rebuilt	3	Segatella sp.__Faecalibacterium prausnitzii__Bacteroides dorei	202	49	114	88	7	8	107	80	0.655614327592624	0.193636506984704	2.16480387479757	0.433596209044283	0.650394313566424	rebuilt	depth3_absorb
200	Rebuilt	3	Bacteroides dorei__Faecalibacterium prausnitzii__Bacteroides stercoris	202	49	114	88	18	16	96	72	0.844468502083339	0.377256686844019	1.9036102562611	0.706375593517348	0.908197191665162	rebuilt	depth3_absorb
200	Rebuilt	3	Bacteroides dorei__Escherichia-Shigella coli	202	49	114	88	22	18	92	70	0.930287471838766	0.43835309695541	1.99377745851305	0.860186908999831	0.96771027262481	rebuilt	depth3_absorb
200	Rebuilt	3	Bacteroides dorei__Bifidobacterium breve	202	49	114	88	11	9	103	79	0.937743198675349	0.33468131684951	2.6959788617454	1	1	rebuilt	depth3_absorb
250	Rebuilt	3	Segatella sp.__Faecalibacterium prausnitzii__Escherichia-Shigella coli	202	49	103	99	2	12	101	87	0.144747514575504	0.0153099574076411	0.676922844245697	0.00488744633080635	0.0439870169772572	rebuilt	depth3_absorb
250	Rebuilt	3	Bacteroides dorei__Bacteroides uniformis	202	49	103	99	21	10	82	89	2.2701821798856	0.955617471340669	5.73894151381586	0.0512758320420045	0.201386453097132	rebuilt	depth3_absorb
250	Rebuilt	3	Bacteroides dorei__Bacteroides ovatus	202	49	103	99	19	9	84	90	2.25300117461357	0.91075562274415	5.9857906354993	0.0671288176990439	0.201386453097132	rebuilt	depth3_absorb
250	Rebuilt	3	Segatella sp.__Faecalibacterium prausnitzii__Bifidobacterium breve	202	49	103	99	10	4	93	95	2.54255396923542	0.702279716335805	11.5046806212585	0.165380938841173	0.372107112392639	rebuilt	depth3_absorb
250	Rebuilt	3	Bacteroides dorei__Escherichia-Shigella coli	202	49	103	99	17	23	86	76	0.654576064071561	0.30344229668703	1.388833181606	0.289595698687013	0.49292430597567	rebuilt	depth3_absorb
250	Rebuilt	3	Bacteroides dorei__Bifidobacterium breve	202	49	103	99	8	12	95	87	0.612018236867191	0.206534705690668	1.71741949192389	0.350895318572648	0.49292430597567	rebuilt	depth3_absorb
250	Rebuilt	3	Segatella sp.__Faecalibacterium prausnitzii__Bacteroides dorei	202	49	103	99	6	9	97	90	0.620024899653058	0.174261960062726	2.04068531297592	0.429426897206189	0.49292430597567	rebuilt	depth3_absorb
250	Rebuilt	3	Segatella sp.__Faecalibacterium prausnitzii__Prevotellaceae fam.	202	49	103	99	2	4	101	95	0.472004437539416	0.0417908027626332	3.38020620643216	0.43815493864504	0.49292430597567	rebuilt	depth3_absorb
250	Rebuilt	3	Bacteroides dorei__Faecalibacterium prausnitzii__Bacteroides stercoris	202	49	103	99	18	16	85	83	1.09801840898935	0.491405423052103	2.47223265356089	0.852267511855682	0.852267511855682	rebuilt	depth3_absorb
100	Rebuilt	4	Bacteroides dorei__Bacteroides ovatus	202	49	144	58	25	3	119	55	3.83162988422528	1.09762429930821	20.6609543049624	0.0242458764727627	0.26670464120039	rebuilt	depth4_absorb
100	Rebuilt	4	Segatella sp.__Faecalibacterium prausnitzii__Escherichia-Shigella coli	202	49	144	58	8	6	136	52	0.511676797142714	0.147446473040201	1.88082755648422	0.232425638882001	0.904985205430508	rebuilt	depth4_absorb
100	Rebuilt	4	Bacteroides dorei__Faecalibacterium prausnitzii__Bacteroides stercoris__Agathobacter faecis	202	49	144	58	9	7	135	51	0.487643945463458	0.152333632506122	1.62742729160125	0.246814146935593	0.904985205430508	rebuilt	depth4_absorb
100	Rebuilt	4	Bacteroides dorei__Bifidobacterium breve	202	49	144	58	13	7	131	51	0.724228381681648	0.251208202048079	2.27163432044077	0.603056647899144	1	rebuilt	depth4_absorb
100	Rebuilt	4	Bacteroides dorei__Escherichia-Shigella coli__Bacteroides ovatus	202	49	144	58	19	9	125	49	0.828373835735073	0.329525900293107	2.22787316356805	0.657848757741676	1	rebuilt	depth4_absorb
100	Rebuilt	4	Segatella sp.__Faecalibacterium prausnitzii__Bifidobacterium breve	202	49	144	58	11	3	133	55	1.51341884142756	0.379663083617484	8.76900597819395	0.761027923079177	1	rebuilt	depth4_absorb
100	Rebuilt	4	Bacteroides dorei__Faecalibacterium prausnitzii__Bacteroides stercoris__Bacteroides ovatus	202	49	144	58	12	6	132	52	0.788820775560587	0.257404584702719	2.70136187739612	0.785200858948332	1	rebuilt	depth4_absorb
100	Rebuilt	4	Bacteroides dorei__Bacteroides uniformis	202	49	144	58	23	8	121	50	1.1870633612731	0.472433838480675	3.28233878924858	0.830301568552635	1	rebuilt	depth4_absorb
100	Rebuilt	4	Segatella sp.__Faecalibacterium prausnitzii__Bacteroides dorei	202	49	144	58	11	4	133	54	1.11594044317446	0.312945911567812	5.01688259085	1	1	rebuilt	depth4_absorb
100	Rebuilt	4	Bacteroides dorei__Escherichia-Shigella coli__Bacteroides fragilis	202	49	144	58	9	3	135	55	1.22103512809823	0.290324476470072	7.27397274423575	1	1	rebuilt	depth4_absorb
100	Rebuilt	4	Segatella sp.__Faecalibacterium prausnitzii__Prevotellaceae fam.	202	49	144	58	4	2	140	56	0.800894661401886	0.111155929253676	9.08639762390252	1	1	rebuilt	depth4_absorb
150	Rebuilt	4	Segatella sp.__Faecalibacterium prausnitzii__Escherichia-Shigella coli	202	49	132	70	6	8	126	62	0.371034410581242	0.101360061736284	1.27973694405507	0.0828702104558305	0.751032226160279	rebuilt	depth4_absorb
150	Rebuilt	4	Bacteroides dorei__Bacteroides ovatus	202	49	132	70	22	6	110	64	2.12608004595915	0.782430024164332	6.75361127697099	0.136551313847323	0.751032226160279	rebuilt	depth4_absorb
150	Rebuilt	4	Segatella sp.__Faecalibacterium prausnitzii__Bifidobacterium breve	202	49	132	70	11	3	121	67	2.02396927666757	0.510422034621766	11.6880318268696	0.38745467521774	0.916674904834911	rebuilt	depth4_absorb
150	Rebuilt	4	Segatella sp.__Faecalibacterium prausnitzii__Prevotellaceae fam.	202	49	132	70	3	3	129	67	0.521167151077195	0.0679049469545123	3.99802360914481	0.419355735061894	0.916674904834911	rebuilt	depth4_absorb
150	Rebuilt	4	Bacteroides dorei__Faecalibacterium prausnitzii__Bacteroides stercoris__Agathobacter faecis	202	49	132	70	9	7	123	63	0.659942088414372	0.207591568986511	2.18980519184766	0.424809887332035	0.916674904834911	rebuilt	depth4_absorb
150	Rebuilt	4	Bacteroides dorei__Bacteroides uniformis	202	49	132	70	22	9	110	61	1.35358347437726	0.556090424524501	3.55838178760082	0.542825254918485	0.916674904834911	rebuilt	depth4_absorb
150	Rebuilt	4	Bacteroides dorei__Bifidobacterium breve	202	49	132	70	12	8	120	62	0.776028168817701	0.274770522064499	2.31096643702853	0.625303218611076	0.916674904834911	rebuilt	depth4_absorb
150	Rebuilt	4	Bacteroides dorei__Escherichia-Shigella coli__Bacteroides fragilis	202	49	132	70	7	5	125	65	0.729218428116996	0.190632427604668	3.0332978385129	0.75550929642619	0.916674904834911	rebuilt	depth4_absorb
150	Rebuilt	4	Bacteroides dorei__Faecalibacterium prausnitzii__Bacteroides stercoris__Bacteroides ovatus	202	49	132	70	11	7	121	63	0.81902775929193	0.274119533765117	2.62067353599884	0.796127585040409	0.916674904834911	rebuilt	depth4_absorb
150	Rebuilt	4	Bacteroides dorei__Escherichia-Shigella coli__Bacteroides ovatus	202	49	132	70	19	9	113	61	1.13893537485049	0.457237140509499	3.04065499276592	0.833340822577191	0.916674904834911	rebuilt	depth4_absorb
150	Rebuilt	4	Segatella sp.__Faecalibacterium prausnitzii__Bacteroides dorei	202	49	132	70	10	5	122	65	1.0652481064875	0.315487661972992	4.1445224741465	1	1	rebuilt	depth4_absorb
200	Rebuilt	4	Segatella sp.__Faecalibacterium prausnitzii__Escherichia-Shigella coli	202	49	114	88	3	11	111	77	0.190680690829207	0.033066573102184	0.753832739026382	0.00975264177109897	0.107279059482089	rebuilt	depth4_absorb
200	Rebuilt	4	Bacteroides dorei__Bacteroides ovatus	202	49	114	88	20	8	94	80	2.12011834242002	0.838873905228201	5.87872688248593	0.101856082942983	0.560208456186406	rebuilt	depth4_absorb
200	Rebuilt	4	Bacteroides dorei__Bacteroides uniformis	202	49	114	88	21	10	93	78	1.75650522985076	0.738840679730032	4.44133765658801	0.23721155958008	0.681365471355301	rebuilt	depth4_absorb
200	Rebuilt	4	Segatella sp.__Faecalibacterium prausnitzii__Bifidobacterium breve	202	49	114	88	10	4	104	84	2.01264424691732	0.555561711733435	9.1090088897585	0.277231360373283	0.681365471355301	rebuilt	depth4_absorb
200	Rebuilt	4	Bacteroides dorei__Escherichia-Shigella coli__Bacteroides fragilis	202	49	114	88	5	7	109	81	0.532500937005878	0.128385719258676	2.02893137630047	0.371451882193589	0.681365471355301	rebuilt	depth4_absorb
