label	n_label	n_cases	n_controls	total_cases	total_controls	or	ci_low	ci_high	p_value	q_value	mode	depth	analysis
Bacteroides thetaiotaomicron	2	2	0	120	173	Inf	0.2714110839486	Inf	0.166908223853383	0.739164991350694	AGP transfer	1	uc_extent
Christensenellaceae R-7 group sp.	3	0	3	120	173	0	0	3.4832330786806	0.272055729580626	0.793515358361775	AGP transfer	1	uc_extent
Ruminococcus bromii	4	3	1	120	173	4.38869857679287	0.347584958315639	232.545798602904	0.308612523253304	0.793515358361775	AGP transfer	1	uc_extent
Segatella sp.	37	18	19	120	173	1.42852294535667	0.671525327933647	3.03043758828102	0.371670922518712	0.793515358361775	AGP transfer	1	uc_extent
Bacteroides sp.	6	1	5	120	173	0.283350346026384	0.00592533828829517	2.5786539311653	0.406325259903992	0.793515358361775	AGP transfer	1	uc_extent
Bacteroides eggerthii	1	1	0	120	173	Inf	0.0369655669561544	Inf	0.409556313993174	0.793515358361775	AGP transfer	1	uc_extent
Enterobacterales ord.	1	1	0	120	173	Inf	0.0369655669561544	Inf	0.409556313993174	0.793515358361775	AGP transfer	1	uc_extent
Enterobacteriaceae fam.	1	1	0	120	173	Inf	0.0369655669561544	Inf	0.409556313993174	0.793515358361775	AGP transfer	1	uc_extent
Parabacteroides distasonis	1	1	0	120	173	Inf	0.0369655669561544	Inf	0.409556313993174	0.793515358361775	AGP transfer	1	uc_extent
Prevotellaceae fam.	1	1	0	120	173	Inf	0.0369655669561544	Inf	0.409556313993174	0.793515358361775	AGP transfer	1	uc_extent
Akkermansia muciniphila	7	4	3	120	173	1.94947944497029	0.323331634485844	13.5576577579881	0.450030290196689	0.820643470358669	AGP transfer	1	uc_extent
Bacteroides fragilis	3	2	1	120	173	2.90456699552038	0.149620578739704	172.790403750696	0.569737407174803	0.981214423467716	AGP transfer	1	uc_extent
UCG-002 sp.	11	5	6	120	173	1.20933875370173	0.28478702999673	4.88179120801069	0.763836541067506	1	AGP transfer	1	uc_extent
CAG-352 bromii	4	2	2	120	173	1.44724749996817	0.103555895267552	20.2215962639021	1	1	AGP transfer	1	uc_extent
[Eubacterium] coprostanoligenes group fam.	3	1	2	120	173	0.719269374516094	0.0120838109878706	13.9631196056898	1	1	AGP transfer	1	uc_extent
Alistipes onderdonkii	1	0	1	120	173	0	0	56.1765258025399	1	1	AGP transfer	1	uc_extent
Bacteroides caccae	5	2	3	120	173	0.960579568465808	0.0790707061600306	8.52048199812389	1	1	AGP transfer	1	uc_extent
Bacteroides cellulosilyticus	3	1	2	120	173	0.719269374516094	0.0120838109878706	13.9631196056898	1	1	AGP transfer	1	uc_extent
Bacteroides ovatus	10	4	6	120	173	0.959899521991671	0.194803495665673	4.15029938840609	1	1	AGP transfer	1	uc_extent
Bifidobacterium breve	6	2	4	120	173	0.716889488464125	0.0638472870292962	5.09483410159318	1	1	AGP transfer	1	uc_extent
Clostridia UCG-014 ord.	1	0	1	120	173	0	0	56.1765258025399	1	1	AGP transfer	1	uc_extent
Gemmiger sp.	2	1	1	120	173	1.4434921149417	0.0182685715136712	114.007790619003	1	1	AGP transfer	1	uc_extent
Lachnospiraceae fam.	1	0	1	120	173	0	0	56.1765258025399	1	1	AGP transfer	1	uc_extent
Muribaculaceae fam.	5	2	3	120	173	0.960579568465808	0.0790707061600306	8.52048199812389	1	1	AGP transfer	1	uc_extent
Prevotellaceae NK3B31 group sp.	1	0	1	120	173	0	0	56.1765258025399	1	1	AGP transfer	1	uc_extent
Bacteroides dorei__Akkermansia muciniphila	6	6	0	120	173	Inf	1.7423361314633	Inf	0.00437643131457794	0.332608779907924	AGP transfer	2	uc_extent
Bacteroides dorei__Faecalibacterium prausnitzii	25	4	21	120	173	0.250584951923165	0.0609007765803298	0.770835055072777	0.0095951709879754	0.364616497543065	AGP transfer	2	uc_extent
Faecalibacterium prausnitzii__Bacteroides dorei	14	10	4	120	173	3.82324389043677	1.06958404691277	17.1150192952892	0.0243195977772302	0.518809856995807	AGP transfer	2	uc_extent
Segatella sp.__Prevotellaceae fam.	4	4	0	120	173	Inf	0.963585719653564	Inf	0.0273057819471477	0.518809856995807	AGP transfer	2	uc_extent
Bacteroides dorei__Muribaculaceae fam.	3	3	0	120	173	Inf	0.599784817283204	Inf	0.0676809979886569	0.55152282664596	AGP transfer	2	uc_extent
Bacteroides sartorii__Bacteroides dorei	3	3	0	120	173	Inf	0.599784817283204	Inf	0.0676809979886569	0.55152282664596	AGP transfer	2	uc_extent
Bacteroides dorei__Bacteroides ovatus	17	3	14	120	173	0.292249574351526	0.0526649726022721	1.08066586831376	0.0722658019625536	0.55152282664596	AGP transfer	2	uc_extent
Bacteroides dorei__Bifidobacterium breve	5	0	5	120	173	0	0	1.55985038193537	0.0810195984171258	0.55152282664596	AGP transfer	2	uc_extent
Bacteroides sp.__Faecalibacterium prausnitzii	5	0	5	120	173	0	0	1.55985038193537	0.0810195984171258	0.55152282664596	AGP transfer	2	uc_extent
Akkermansia sp.__Bacteroides dorei	6	0	6	120	173	0	0	1.20858899657047	0.084746518017462	0.55152282664596	AGP transfer	2	uc_extent
Agathobacter faecis__Bacteroides dorei	9	1	8	120	173	0.174082522671837	0.00387842364404044	1.32758477977983	0.0871636807432377	0.55152282664596	AGP transfer	2	uc_extent
Bacteroides dorei__Bacteroides cellulosilyticus	9	1	8	120	173	0.174082522671837	0.00387842364404044	1.32758477977983	0.0871636807432377	0.55152282664596	AGP transfer	2	uc_extent
Bacteroides dorei__Bacteroides thetaiotaomicron	7	5	2	120	173	3.70089055913226	0.593645086691979	39.4900531363075	0.126843092505956	0.55152282664596	AGP transfer	2	uc_extent
Bacteroides dorei__Alistipes onderdonkii	4	0	4	120	173	0	0	2.17376928740279	0.147111659087267	0.55152282664596	AGP transfer	2	uc_extent
Bacteroides dorei__UCG-002 sp.	4	0	4	120	173	0	0	2.17376928740279	0.147111659087267	0.55152282664596	AGP transfer	2	uc_extent
Blautia sp.	4	0	4	120	173	0	0	2.17376928740279	0.147111659087267	0.55152282664596	AGP transfer	2	uc_extent
Bacteroides dorei__Bacteroides eggerthii	5	4	1	120	173	5.89760526056305	0.574218589562442	293.297289631575	0.162747976909454	0.55152282664596	AGP transfer	2	uc_extent
Akkermansia muciniphila__Clostridia UCG-014 ord.	2	2	0	120	173	Inf	0.2714110839486	Inf	0.166908223853383	0.55152282664596	AGP transfer	2	uc_extent
Akkermansia muciniphila__UCG-002 sp.	2	2	0	120	173	Inf	0.2714110839486	Inf	0.166908223853383	0.55152282664596	AGP transfer	2	uc_extent
Bacteroides dorei__Dialister invisus	2	2	0	120	173	Inf	0.2714110839486	Inf	0.166908223853383	0.55152282664596	AGP transfer	2	uc_extent
Bacteroides fragilis__Bacteroides dorei	2	2	0	120	173	Inf	0.2714110839486	Inf	0.166908223853383	0.55152282664596	AGP transfer	2	uc_extent
Bacteroides thetaiotaomicron__Bacteroides ovatus	2	2	0	120	173	Inf	0.2714110839486	Inf	0.166908223853383	0.55152282664596	AGP transfer	2	uc_extent
Faecalibacterium prausnitzii__Dialister invisus	2	2	0	120	173	Inf	0.2714110839486	Inf	0.166908223853383	0.55152282664596	AGP transfer	2	uc_extent
Segatella sp.__Bacteroides dorei	6	4	2	120	173	2.93732229243605	0.413307238722091	32.9685722687608	0.231176529482883	0.73205901002913	AGP transfer	2	uc_extent
Christensenellaceae R-7 group sp.__Bacteroides dorei	3	0	3	120	173	0	0	3.4832330786806	0.272055729580626	0.759177557645884	AGP transfer	2	uc_extent
Segatella sp.__Agathobacter faecis	3	0	3	120	173	0	0	3.4832330786806	0.272055729580626	0.759177557645884	AGP transfer	2	uc_extent
Faecalibacterium prausnitzii__Agathobacter faecis	4	3	1	120	173	4.38869857679287	0.347584958315639	232.545798602904	0.308612523253304	0.759177557645884	AGP transfer	2	uc_extent
Faecalibacterium prausnitzii__UCG-002 sp.	4	3	1	120	173	4.38869857679287	0.347584958315639	232.545798602904	0.308612523253304	0.759177557645884	AGP transfer	2	uc_extent
Ruminococcus bromii	4	3	1	120	173	4.38869857679287	0.347584958315639	232.545798602904	0.308612523253304	0.759177557645884	AGP transfer	2	uc_extent
Faecalibacterium prausnitzii__Blautia sp.	5	3	2	120	173	2.18633075043993	0.246505027984493	26.556497861538	0.403043380339889	0.759177557645884	AGP transfer	2	uc_extent
Bacteroides dorei__Bacteroides fragilis	1	1	0	120	173	Inf	0.0369655669561544	Inf	0.409556313993174	0.759177557645884	AGP transfer	2	uc_extent
