label	n_label	n_cases	n_controls	total_cases	total_controls	or	ci_low	ci_high	p_value	q_value	mode	depth	analysis
Segatella sp.__Faecalibacterium prausnitzii	9	6	3	102	96	1.93125518630101	0.398505690399956	12.28179582671	0.499484891354249	1	AGP transfer	2	cd_calprotectin
Bacteroides sp.__Bacteroides dorei	3	1	2	102	96	0.467092714893053	0.00781747335782752	9.10958769708171	0.611915278340224	1	AGP transfer	2	cd_calprotectin
Faecalibacterium prausnitzii__Blautia sp.	3	1	2	102	96	0.467092714893053	0.00781747335782752	9.10958769708171	0.611915278340224	1	AGP transfer	2	cd_calprotectin
UCG-002 sp.__Bacteroides dorei	5	2	3	102	96	0.621489865721207	0.0508681457643128	5.55084196605958	0.67514275656288	1	AGP transfer	2	cd_calprotectin
Bifidobacterium breve__Faecalibacterium prausnitzii	7	3	4	102	96	0.698241795592638	0.0996280362581789	4.24739718429696	0.714461213406994	1	AGP transfer	2	cd_calprotectin
Bacteroides ovatus__Bacteroides dorei	10	6	4	102	96	1.43489465813258	0.328145671882696	7.14354566625335	0.748669216399327	1	AGP transfer	2	cd_calprotectin
Blautia sp.	10	6	4	102	96	1.43489465813258	0.328145671882696	7.14354566625335	0.748669216399327	1	AGP transfer	2	cd_calprotectin
Bifidobacterium breve__Bacteroides dorei	13	6	7	102	96	0.795568948077341	0.212142877114166	2.88257383055504	0.778213867572862	1	AGP transfer	2	cd_calprotectin
Agathobacter faecis__Faecalibacterium prausnitzii	1	1	0	102	96	Inf	0.0241323446475758	Inf	1	1	AGP transfer	2	cd_calprotectin
Akkermansia muciniphila__Faecalibacterium prausnitzii	1	1	0	102	96	Inf	0.0241323446475758	Inf	1	1	AGP transfer	2	cd_calprotectin
Alistipes onderdonkii__Bacteroides dorei	1	1	0	102	96	Inf	0.0241323446475758	Inf	1	1	AGP transfer	2	cd_calprotectin
Bacteroides dorei__Agathobacter faecis	1	1	0	102	96	Inf	0.0241323446475758	Inf	1	1	AGP transfer	2	cd_calprotectin
Bacteroides dorei__Bacteroides eggerthii	2	1	1	102	96	0.940857793104599	0.0118740815842039	74.5601953926106	1	1	AGP transfer	2	cd_calprotectin
Bacteroides dorei__Bacteroides fragilis	1	1	0	102	96	Inf	0.0241323446475758	Inf	1	1	AGP transfer	2	cd_calprotectin
Bacteroides dorei__Bacteroides sartorii	2	1	1	102	96	0.940857793104599	0.0118740815842039	74.5601953926106	1	1	AGP transfer	2	cd_calprotectin
Bacteroides dorei__Bacteroides thetaiotaomicron	1	1	0	102	96	Inf	0.0241323446475758	Inf	1	1	AGP transfer	2	cd_calprotectin
Bacteroides dorei__Bifidobacterium breve	3	2	1	102	96	1.89408377892229	0.0971185370946918	113.181226894724	1	1	AGP transfer	2	cd_calprotectin
Bacteroides dorei__CAG-352 bromii	1	1	0	102	96	Inf	0.0241323446475758	Inf	1	1	AGP transfer	2	cd_calprotectin
Bacteroides dorei__Lachnospiraceae fam.	1	1	0	102	96	Inf	0.0241323446475758	Inf	1	1	AGP transfer	2	cd_calprotectin
Bacteroides dorei__Parabacteroides distasonis	3	2	1	102	96	1.89408377892229	0.0971185370946918	113.181226894724	1	1	AGP transfer	2	cd_calprotectin
Bacteroides ovatus__Bacteroides fragilis	3	2	1	102	96	1.89408377892229	0.0971185370946918	113.181226894724	1	1	AGP transfer	2	cd_calprotectin
Bacteroides ovatus__Faecalibacterium prausnitzii	1	1	0	102	96	Inf	0.0241323446475758	Inf	1	1	AGP transfer	2	cd_calprotectin
CAG-352 bromii	2	1	1	102	96	0.940857793104599	0.0118740815842039	74.5601953926106	1	1	AGP transfer	2	cd_calprotectin
Clostridia UCG-014 ord.__Bacteroides dorei	2	1	1	102	96	0.940857793104599	0.0118740815842039	74.5601953926106	1	1	AGP transfer	2	cd_calprotectin
Enterococcus faecium	1	1	0	102	96	Inf	0.0241323446475758	Inf	1	1	AGP transfer	2	cd_calprotectin
Faecalibacterium prausnitzii__Agathobacter faecis	1	1	0	102	96	Inf	0.0241323446475758	Inf	1	1	AGP transfer	2	cd_calprotectin
Faecalibacterium prausnitzii__Bacteroides ovatus	2	1	1	102	96	0.940857793104599	0.0118740815842039	74.5601953926106	1	1	AGP transfer	2	cd_calprotectin
Faecalibacterium prausnitzii__Christensenellaceae R-7 group sp.	1	1	0	102	96	Inf	0.0241323446475758	Inf	1	1	AGP transfer	2	cd_calprotectin
Faecalibacterium prausnitzii__Segatella sp.	1	1	0	102	96	Inf	0.0241323446475758	Inf	1	1	AGP transfer	2	cd_calprotectin
Gemmiger formicilis	3	2	1	102	96	1.89408377892229	0.0971185370946918	113.181226894724	1	1	AGP transfer	2	cd_calprotectin
Segatella sp.__Dialister invisus	3	2	1	102	96	1.89408377892229	0.0971185370946918	113.181226894724	1	1	AGP transfer	2	cd_calprotectin
Segatella sp.__UCG-002 sp.	1	1	0	102	96	Inf	0.0241323446475758	Inf	1	1	AGP transfer	2	cd_calprotectin
Segatella sp.__Bacteroides dorei__Faecalibacterium prausnitzii	9	1	8	100	94	0.109571142758109	0.00242797590476252	0.844646673505877	0.0158664983749799	1	AGP transfer	3	cd_calprotectin
Lachnospiraceae fam.__Faecalibacterium prausnitzii__Bacteroides dorei	8	1	7	100	94	0.126630393322416	0.0027630770673088	1.01695756768072	0.0307263855478258	1	AGP transfer	3	cd_calprotectin
[Eubacterium] coprostanoligenes group fam.	5	5	0	100	94	Inf	0.877904095061277	Inf	0.0598788429769632	1	AGP transfer	3	cd_calprotectin
Bacteroides dorei__Blautia sp.	3	0	3	100	94	0	0	2.25936114752732	0.111876368783719	1	AGP transfer	3	cd_calprotectin
Bacteroides eggerthii__Bacteroides dorei	3	0	3	100	94	0	0	2.25936114752732	0.111876368783719	1	AGP transfer	3	cd_calprotectin
Segatella sp.__Prevotellaceae fam.__Faecalibacterium prausnitzii	3	0	3	100	94	0	0	2.25936114752732	0.111876368783719	1	AGP transfer	3	cd_calprotectin
Bacteroides fragilis__Bacteroides dorei	11	3	8	100	94	0.334268230307355	0.0553802237215002	1.44877237368946	0.12482759777669	1	AGP transfer	3	cd_calprotectin
Bacteroides dorei__Bacteroides sp.__Bacteroides sartorii	2	0	2	100	94	0	0	4.99523843193229	0.233481117461674	1	AGP transfer	3	cd_calprotectin
Bacteroides dorei__Faecalibacterium prausnitzii__Agathobacter faecis	2	0	2	100	94	0	0	4.99523843193229	0.233481117461674	1	AGP transfer	3	cd_calprotectin
Bacteroides fragilis__Faecalibacterium prausnitzii	2	0	2	100	94	0	0	4.99523843193229	0.233481117461674	1	AGP transfer	3	cd_calprotectin
Parabacteroides distasonis__Bacteroides dorei	2	0	2	100	94	0	0	4.99523843193229	0.233481117461674	1	AGP transfer	3	cd_calprotectin
Bacteroides dorei__Bacteroides ovatus__Faecalibacterium prausnitzii	5	4	1	100	94	3.85125466915246	0.372156525207984	192.662681431331	0.369692663920546	1	AGP transfer	3	cd_calprotectin
Faecalibacterium prausnitzii__Bacteroides dorei__Bacteroides ovatus	7	5	2	100	94	2.41085444735926	0.382972752555809	25.9256338500282	0.446115892583591	1	AGP transfer	3	cd_calprotectin
Bacteroides dorei__Bacteroides ovatus__Bacteroides thetaiotaomicron	1	0	1	100	94	0	0	36.660455261133	0.484536082474227	1	AGP transfer	3	cd_calprotectin
Bacteroides dorei__Bacteroides sartorii__Bacteroides ovatus	1	0	1	100	94	0	0	36.660455261133	0.484536082474227	1	AGP transfer	3	cd_calprotectin
Bacteroides dorei__Clostridia UCG-014 ord.__Faecalibacterium prausnitzii	1	0	1	100	94	0	0	36.660455261133	0.484536082474227	1	AGP transfer	3	cd_calprotectin
Bacteroides dorei__Faecalibacterium prausnitzii__Bacteroides cellulosilyticus	1	0	1	100	94	0	0	36.660455261133	0.484536082474227	1	AGP transfer	3	cd_calprotectin
Bacteroides dorei__Faecalibacterium prausnitzii__Bacteroides eggerthii	1	0	1	100	94	0	0	36.660455261133	0.484536082474227	1	AGP transfer	3	cd_calprotectin
Bacteroides sp.__Bacteroides dorei__Bacteroides ovatus	1	0	1	100	94	0	0	36.660455261133	0.484536082474227	1	AGP transfer	3	cd_calprotectin
Christensenellaceae R-7 group sp.__Bacteroides dorei	1	0	1	100	94	0	0	36.660455261133	0.484536082474227	1	AGP transfer	3	cd_calprotectin
Faecalibacterium prausnitzii__Butyrivibrio crossotus	1	0	1	100	94	0	0	36.660455261133	0.484536082474227	1	AGP transfer	3	cd_calprotectin
Gemmiger sp.	1	0	1	100	94	0	0	36.660455261133	0.484536082474227	1	AGP transfer	3	cd_calprotectin
Segatella sp.__Agathobacter faecis__Faecalibacterium prausnitzii	1	0	1	100	94	0	0	36.660455261133	0.484536082474227	1	AGP transfer	3	cd_calprotectin
Agathobacter faecis__Bacteroides dorei__Faecalibacterium prausnitzii	2	2	0	100	94	Inf	0.176774282890503	Inf	0.497890069974894	1	AGP transfer	3	cd_calprotectin
Akkermansia muciniphila__Bacteroides dorei__Bacteroides caccae	2	2	0	100	94	Inf	0.176774282890503	Inf	0.497890069974894	1	AGP transfer	3	cd_calprotectin
Bacteroides dorei__Bacteroides caccae__Faecalibacterium prausnitzii	2	2	0	100	94	Inf	0.176774282890503	Inf	0.497890069974894	1	AGP transfer	3	cd_calprotectin
