depth	lineage	size
2	Stenotrophomonas__Acinetobacter	25
2	Unassigned__Bacteria	25
2	Stenotrophomonas__Escherichia-Shigella	24
2	uncultured_12__Staphylococcus	24
2	Enterobacteriaceae__Streptococcus	23
2	Prevotella_9__Enterobacteriaceae	23
2	Proteus__Escherichia-Shigella	23
2	Pseudomonas__Rothia	23
2	Bacteroides__Fenollaria	22
2	Faecalibacterium__Clostridia_UCG-014	22
2	Pseudomonas__Staphylococcus	22
2	Staphylococcus__Acinetobacter	22
2	Acinetobacter__Stenotrophomonas	21
2	Akkermansia__Escherichia-Shigella	21
2	Escherichia-Shigella__Pseudomonadaceae	21
2	Faecalibacterium__Blautia	21
2	Neisseria__Rothia	21
2	Acinetobacter__Streptococcus	20
2	Bacteroides__[Ruminococcus]_gnavus_group	20
2	Bacteroides__Clostridium_sensu_stricto_1	20
2	Ruminococcaceae__Bacteroides	20
2	Bifidobacterium__Faecalibacterium	19
2	Enterobacteriaceae__Stenotrophomonas	19
2	Escherichia-Shigella__Morganella	19
2	Escherichia-Shigella__Planococcaceae	19
2	Lactobacillus__Bacteroides	19
2	Morganella__Escherichia-Shigella	19
2	Prevotella_9__Clostridia_UCG-014	19
2	Prevotellaceae__Bacteroides	19
2	Stenotrophomonas__Enterobacteriaceae	19
2	Veillonella__Pasteurellaceae	19
2	Bacteroides__Anaeroplasma	18
2	Bacteroides__Barnesiella	18
2	Bacteroides__Fusobacterium	18
2	Dialister__Faecalibacterium	18
2	Enterobacteriaceae__Rothia	18
2	Escherichia-Shigella__[Eubacterium]_coprostanoligenes_group	18
2	Escherichia-Shigella__RF39	18
2	Faecalibacterium__Subdoligranulum	18
2	Streptococcus__Lactobacillales	18
2	Unassigned__Streptococcus	18
2	Bacteroides__Clostridia	17
2	Bacteroides__Enterobacterales	17
2	Bacteroides__Phascolarctobacterium	17
2	Bacteroides__RF39	17
2	Enterobacterales__Enterobacteriaceae	17
2	Escherichia-Shigella__Muribaculaceae	17
2	Prevotella_7__Alloprevotella	17
2	Prevotella_9__Bifidobacterium	17
2	Staphylococcus__Cutibacterium	17
2	Staphylococcus__Pseudomonas	17
2	Bacteroides__Anaerostipes	16
2	Bacteroides__Parasutterella	16
2	Corynebacterium__Corynebacteriaceae	16
2	Dialister__Prevotella_9	16
2	Faecalibacterium__Dialister	16
2	Prevotellaceae__Fenollaria	16
2	Pseudomonas__Faecalibacterium	16
2	Bacteroides__Unassigned	15
2	Bifidobacterium__Escherichia-Shigella	15
2	Escherichia-Shigella__Providencia	15
2	Faecalibacterium__Ruminococcus	15
2	Lachnospiraceae__Escherichia-Shigella	15
2	Prevotella_9__UCG-002	15
2	Pseudomonas__Acinetobacter	15
2	Stenotrophomonas__Pseudomonas	15
2	Streptococcus__Acinetobacter	15
2	Acinetobacter__Enterobacteriaceae	14
2	Acinetobacter__Rothia	14
2	Bacteroides__Lachnospira	14
2	Chloroplast__Mitochondria	14
2	Corynebacterium__uncultured_12	14
2	Cutibacterium__Staphylococcus	14
2	Escherichia-Shigella__Ruminococcus	14
2	Faecalibacterium__Christensenellaceae_R-7_group	14
2	Proteus__Bacteroides	14
2	Agathobacter__Lachnospiraceae	13
2	Bacteroides__Bacteroidales	13
2	Bacteroides__Megasphaera	13
2	Bacteroides__Rikenellaceae_RC9_gut_group	13
2	Chloroplast__Corynebacteriaceae	13
2	Dialister__Bacteroides	13
2	Escherichia-Shigella__Prevotellaceae_NK3B31_group	13
2	Escherichia-Shigella__Streptococcus	13
2	Lachnospiraceae__Agathobacter	13
2	Morganella__Bacteroides	13
2	Pasteurellaceae__Rothia	13
2	Staphylococcus__Anaerococcus	13
2	Bacteroides__Megamonas	12
2	Christensenellaceae_R-7_group__Bacteroides	12
2	Comamonadaceae__Bacteroides	12
2	Enterobacterales__Escherichia-Shigella	12
2	Hafnia-Obesumbacterium__Escherichia-Shigella	12
2	Prevotella_7__Prevotellaceae	12
2	Pseudomonas__Comamonadaceae	12
2	Pseudomonas__Stenotrophomonas	12
2	Streptococcus__Gemella	12
2	uncultured_12__Corynebacterium	12
2	Bacteroides__Corynebacteriaceae	11
2	Bacteroides__Pasteurellaceae	11
2	Clostridia_UCG-014__Faecalibacterium	11
2	Corynebacteriaceae__Corynebacterium	11
2	Enterobacteriaceae__Akkermansia	11
2	Enterobacteriaceae__Comamonadaceae	11
2	Enterobacteriaceae__Lachnospiraceae	11
2	Escherichia-Shigella__Hafnia-Obesumbacterium	11
2	Faecalibacterium__Ruminococcaceae	11
2	Finegoldia__Peptoniphilus	11
2	Lachnospiraceae__UCG-002	11
2	Parabacteroides__Bacteroides	11
2	Subdoligranulum__Bacteroides	11
2	Acinetobacter__Chloroplast	10
2	Acinetobacter__Staphylococcus	10
2	Akkermansia__UCG-002	10
2	Bacteria__Unassigned	10
2	Bacteroides__Coprococcus	10
2	Bacteroides__Oscillospiraceae	10
2	Bifidobacterium__Blautia	10
2	Blautia__Bifidobacterium	10
2	Blautia__Lachnospiraceae	10
2	Chloroplast__Acinetobacter	10
2	Escherichia-Shigella__Lactobacillales	10
2	Escherichia-Shigella__Phascolarctobacterium	10
2	Fenollaria__Prevotellaceae	10
2	Gastranaerophilales__Prevotella_9	10
2	Lachnospiraceae__Blautia	10
2	Lactobacillus__Staphylococcus	10
2	Pasteurellaceae__Fusobacterium	10
2	Pseudomonas__Chloroplast	10
2	Pseudomonas__Pasteurellaceae	10
2	Pseudomonas__Unassigned	10
2	Rothia__Pasteurellaceae	10
2	Staphylococcus__Psychrobacter	10
2	Stenotrophomonas__Rothia	10
2	Subdoligranulum__Faecalibacterium	10
2	Veillonella__Rothia	10
2	Acinetobacter__Bacteroides	9
2	Acinetobacter__Comamonadaceae	9
2	Acinetobacter__Enhydrobacter	9
2	Agathobacter__Subdoligranulum	9
